face_uid,gender,age_range,confidence,first_seen,last_seen
FACE_956677,female,60-98,69.1974,2025-12-25 13:20:51,2025-12-25 13:21:09
FACE_614740,male,42-48,86.1852,2025-10-05 05:17:58,2025-10-05 05:18:09
FACE_859680,male,25-30,60.8019,2025-11-06 08:06:00,2025-11-06 08:06:03
FACE_356096,female,06-20,93.7874,2025-01-25 17:20:44,2025-01-25 17:20:46
FACE_509714,female,06-20,71.6826,2025-05-06 21:09:46,2025-05-06 21:09:57
FACE_882809,male,42-48,77.1883,2025-11-18 13:52:59,2025-11-18 13:53:20
FACE_833457,male,25-30,66.5352,2025-07-04 03:40:44,2025-07-04 03:40:50
FACE_943292,female,60-98,90.7065,2025-07-28 13:05:14,2025-07-28 13:05:18
FACE_158221,male,42-48,76.1147,2025-08-24 23:49:25,2025-08-24 23:49:50
FACE_86022,male,42-48,71.2754,2025-02-16 12:34:11,2025-02-16 12:34:13
FACE_125007,male,42-48,70.9957,2025-07-20 18:43:01,2025-07-20 18:43:11
FACE_897167,male,60-98,68.6746,2025-01-09 16:56:22,2025-01-09 16:56:26
FACE_119644,female,60-98,94.6074,2025-11-01 23:59:35,2025-11-02 00:00:03
FACE_775247,male,42-48,74.0313,2025-08-02 09:04:04,2025-08-02 09:04:11
FACE_151012,male,42-48,95.8764,2025-06-22 22:05:23,2025-06-22 22:05:25
FACE_505441,male,42-48,81.1713,2025-02-18 23:44:51,2025-02-18 23:45:07
FACE_541423,male,60-98,84.1612,2025-01-07 17:41:56,2025-01-07 17:42:18
FACE_99926,male,60-98,92.5283,2025-02-12 18:01:06,2025-02-12 18:01:11
FACE_872597,female,06-20,88.6775,2025-04-30 18:51:15,2025-04-30 18:51:38
FACE_757269,female,60-98,80.0783,2025-08-26 09:08:24,2025-08-26 09:08:36
FACE_822323,male,25-30,64.1413,2025-05-19 15:20:54,2025-05-19 15:21:12
FACE_950709,male,42-48,86.3249,2025-09-12 16:39:12,2025-09-12 16:39:15
FACE_155874,male,25-30,68.9336,2025-11-27 04:50:00,2025-11-27 04:50:18
FACE_686244,female,42-48,60.1924,2025-02-19 12:12:35,2025-02-19 12:13:00
FACE_624025,female,42-48,71.2127,2025-12-28 14:40:15,2025-12-28 14:40:31
FACE_49959,female,25-30,85.249,2025-05-08 04:02:42,2025-05-08 04:03:01
FACE_301993,male,06-20,78.0493,2025-10-17 22:29:05,2025-10-17 22:29:05
FACE_830480,female,60-98,89.8816,2025-10-17 20:57:36,2025-10-17 20:58:02
FACE_418426,female,06-20,73.6904,2025-07-19 11:51:08,2025-07-19 11:51:25
FACE_291570,female,25-30,97.1208,2025-11-27 06:30:51,2025-11-27 06:30:57
FACE_542486,male,60-98,82.1124,2025-10-20 21:30:06,2025-10-20 21:30:26
FACE_615364,male,25-30,93.8322,2025-04-03 05:54:11,2025-04-03 05:54:31
FACE_499820,male,60-98,76.2481,2025-01-31 10:47:06,2025-01-31 10:47:26
FACE_360876,female,06-20,80.1073,2025-02-02 16:38:11,2025-02-02 16:38:13
FACE_854408,female,42-48,96.6993,2025-03-31 16:30:06,2025-03-31 16:30:23
FACE_848489,male,06-20,96.7158,2025-06-04 11:22:56,2025-06-04 11:22:57
FACE_576930,male,42-48,97.2815,2025-07-14 07:23:56,2025-07-14 07:24:17
FACE_312130,male,06-20,81.9596,2025-03-29 11:45:45,2025-03-29 11:45:56
FACE_484013,female,42-48,61.7432,2025-05-01 12:34:59,2025-05-01 12:35:07
FACE_474637,male,25-30,88.2291,2025-06-30 15:37:45,2025-06-30 15:38:08
FACE_282460,male,06-20,66.0334,2025-05-10 03:30:42,2025-05-10 03:30:42
FACE_430907,male,42-48,71.1381,2025-08-10 06:00:41,2025-08-10 06:00:57
FACE_209775,female,06-20,94.9892,2025-05-03 18:53:00,2025-05-03 18:53:16
FACE_827830,male,42-48,93.9566,2025-12-21 22:10:49,2025-12-21 22:10:58
FACE_848503,female,60-98,75.8636,2025-11-07 21:06:58,2025-11-07 21:07:03
FACE_27516,male,60-98,63.9396,2025-11-25 20:45:48,2025-11-25 20:45:53
FACE_563952,male,25-30,69.6607,2025-11-18 03:54:36,2025-11-18 03:54:59
FACE_158167,female,25-30,78.3163,2025-10-16 21:26:46,2025-10-16 21:27:06
FACE_599885,female,60-98,66.9267,2025-11-07 19:38:03,2025-11-07 19:38:19
FACE_299408,male,60-98,72.0856,2025-07-16 01:45:14,2025-07-16 01:45:28
FACE_779670,male,60-98,71.5574,2025-06-27 22:20:50,2025-06-27 22:21:07
FACE_627409,female,42-48,93.0129,2025-05-28 09:22:34,2025-05-28 09:22:43
FACE_206168,male,06-20,87.4559,2025-08-27 07:25:32,2025-08-27 07:25:59
FACE_248134,female,25-30,88.0947,2025-05-14 11:22:40,2025-05-14 11:22:53
FACE_3297,female,25-30,74.7041,2025-09-26 18:48:46,2025-09-26 18:48:49
FACE_547819,male,25-30,71.323,2025-08-20 06:04:22,2025-08-20 06:04:26
FACE_844357,male,60-98,62.8754,2025-06-28 21:34:05,2025-06-28 21:34:16
FACE_280686,female,42-48,94.1121,2025-09-30 21:59:44,2025-09-30 22:00:06
FACE_40611,male,06-20,73.1098,2025-11-21 16:54:07,2025-11-21 16:54:37
FACE_625306,male,06-20,96.7904,2025-04-05 14:08:05,2025-04-05 14:08:16
FACE_951735,male,25-30,82.4977,2025-02-08 22:26:26,2025-02-08 22:26:26
FACE_392307,male,06-20,87.3678,2025-05-23 03:58:56,2025-05-23 03:59:07
FACE_519851,female,42-48,96.6006,2025-12-08 13:35:53,2025-12-08 13:36:12
FACE_781931,female,42-48,84.0917,2025-02-09 17:17:48,2025-02-09 17:18:06
FACE_185898,female,60-98,60.3273,2025-12-11 17:29:02,2025-12-11 17:29:13
FACE_283183,female,06-20,94.9308,2025-10-01 03:33:02,2025-10-01 03:33:10
FACE_920270,male,25-30,96.0915,2025-12-23 17:58:24,2025-12-23 17:58:26
FACE_91365,male,42-48,61.3936,2025-09-24 15:50:36,2025-09-24 15:50:51
FACE_121766,male,25-30,85.8212,2025-06-04 20:28:15,2025-06-04 20:28:20
FACE_260450,male,60-98,76.7109,2025-09-02 23:26:30,2025-09-02 23:26:40
FACE_121559,male,60-98,84.8311,2025-01-14 19:20:47,2025-01-14 19:20:58
FACE_683085,male,06-20,60.9508,2025-06-27 18:16:40,2025-06-27 18:17:10
